1024,large,ReadBufferedIOStream,611014830,55539
1024,large,ReadBufferedIOStream,612629980,55638
1024,large,ReadBufferedIOStream,614953707,55174
1024,large,ReadBufferedIOStream,614077671,56248
1024,large,ReadBufferedIOStream,614085396,55543
1024,large,ReadBufferedIOStream,614152880,55658
1024,large,ReadBufferedIOStream,611051895,55313
1024,large,ReadBufferedIOStream,619452495,55966
1024,large,ReadBufferedIOStream,619607069,55304
1024,large,ReadBufferedIOStream,616018501,55896
1024,large,ReadBufferedIOStream,612481410,55102
1024,large,ReadBufferedIOStream,614936207,55063
1024,large,ReadBufferedIOStream,617648359,55391
1024,large,ReadBufferedIOStream,614613854,55244
1024,large,ReadBufferedIOStream,612309401,55842
1024,large,ReadBufferedIOStream,617564518,55644
1024,large,ReadBufferedIOStream,616684395,56221
1024,large,ReadBufferedIOStream,619945589,55386
1024,large,ReadBufferedIOStream,615092557,55906
1024,large,ReadBufferedIOStream,618596431,55706
1024,large,ReadBufferedIOStream,619651440,55950
1024,large,ReadBufferedIOStream,616286573,55914
1024,large,ReadBufferedIOStream,616131368,55570
1024,large,ReadBufferedIOStream,612740511,55795
1024,large,ReadBufferedIOStream,616207990,55613
1024,large,ReadBufferedIOStream,618564649,55215
1024,large,ReadBufferedIOStream,612168206,55288
1024,large,ReadBufferedIOStream,614563553,55294
1024,large,ReadBufferedIOStream,613854474,55157
1024,large,ReadBufferedIOStream,613269214,55610
2048,large,ReadBufferedIOStream,562962013,51201
2048,large,ReadBufferedIOStream,563365772,51222
2048,large,ReadBufferedIOStream,567875326,51704
2048,large,ReadBufferedIOStream,563978477,51048
2048,large,ReadBufferedIOStream,562061380,51479
2048,large,ReadBufferedIOStream,564740908,51443
2048,large,ReadBufferedIOStream,564710560,51339
2048,large,ReadBufferedIOStream,563627831,51637
2048,large,ReadBufferedIOStream,569537666,51731
2048,large,ReadBufferedIOStream,573028928,52141
2048,large,ReadBufferedIOStream,565423530,51786
2048,large,ReadBufferedIOStream,562954556,51231
2048,large,ReadBufferedIOStream,561598544,51267
2048,large,ReadBufferedIOStream,561792865,51649
2048,large,ReadBufferedIOStream,565203594,51068
2048,large,ReadBufferedIOStream,561011201,51531
2048,large,ReadBufferedIOStream,566877920,51303
2048,large,ReadBufferedIOStream,563289703,51128
2048,large,ReadBufferedIOStream,573556881,52350
2048,large,ReadBufferedIOStream,567332761,51382
2048,large,ReadBufferedIOStream,568391858,51325
2048,large,ReadBufferedIOStream,561834424,51469
2048,large,ReadBufferedIOStream,564490132,51931
2048,large,ReadBufferedIOStream,568640756,52017
2048,large,ReadBufferedIOStream,564430532,51617
2048,large,ReadBufferedIOStream,562483543,51038
2048,large,ReadBufferedIOStream,563417936,51850
2048,large,ReadBufferedIOStream,566053631,51609
2048,large,ReadBufferedIOStream,565810253,51931
2048,large,ReadBufferedIOStream,561810421,51316
